ANO,IBGE7,NOME,TTREVA_EF_TOTAL,TTREVA_EM_TOTAL,TXMOINF,TXBRUTAMORT,TXCOBPLP,PINTERDRSAI,REN_PIBPC_D,REN_PVAAGR,REN_PVAIND,POP_TOT
2013,1504703,Moju,5.60,21.10,19.31,3.08,5.07,8.35,7.36,31.70,10.77,74768
2013,1504752,Mojuí dos Campos,7.10,19.80,0.00,,,0.00,11.71,65.12,5.32,15232
2013,1504802,Monte Alegre,3.10,12.50,21.46,4.42,1.11,8.38,8.28,49.22,4.87,56147
2013,1504901,Muaná,7.80,15.10,33.69,3.22,0.70,7.46,5.38,33.34,3.38,36632
2013,1504950,Nova Esperança do Piriá,7.70,25.90,10.61,3.36,0.17,13.11,6.81,47.11,4.63,20528
2013,1504976,Nova Ipixuna,4.10,16.00,23.81,3.70,0.48,0.71,5.50,27.78,7.14,15422
2013,1505007,Nova Timboteua,4.40,23.00,8.06,4.12,1.18,3.40,5.28,30.48,4.52,14305
2013,1505031,Novo Progresso,5.80,14.90,17.65,6.35,0.75,2.95,11.80,40.81,8.71,25203
2013,1505064,Novo Repartimento,6.40,23.50,10.75,2.78,0.23,9.76,7.33,36.23,9.92,67652
2013,1505106,Óbidos,3.20,12.60,18.16,4.29,1.40,17.81,8.71,50.46,6.12,50171
2013,1505205,Oeiras do Pará,5.20,13.70,11.98,2.86,0.37,6.57,7.97,56.05,3.30,30088
2013,1505304,Oriximiná,4.10,17.00,20.96,3.62,8.31,6.68,19.10,21.60,36.11,66821
2013,1505403,Ourém,5.80,11.80,10.42,2.85,0.93,11.20,7.94,44.88,9.41,16854
2013,1505437,Ourilândia do Norte,4.70,15.60,25.64,4.67,19.84,14.33,12.21,10.46,25.15,29547
2013,1505486,Pacajá,9.90,20.40,12.21,3.18,0.24,14.50,6.63,44.18,5.21,43057
2013,1505494,Palestina do Pará,4.40,20.80,16.39,2.14,0.63,28.00,5.17,26.84,5.66,7465
2013,1505502,Paragominas,4.20,23.80,16.97,3.80,11.40,1.96,14.11,11.71,36.05,103775
2013,1505536,Parauapebas,3.70,21.90,15.32,4.07,49.57,1.04,95.74,0.76,79.21,176582
2013,1505551,Pau D&apos;Arco,6.20,14.00,30.77,6.09,0.16,18.99,7.81,44.34,2.90,5743
2013,1505601,Peixe-Boi,3.60,19.70,30.93,5.45,0.79,2.74,6.87,46.31,5.36,7889
2013,1505635,Piçarra,7.50,25.50,0.00,3.54,0.13,17.74,9.03,54.33,5.37,12720
2013,1505650,Placas,4.80,14.50,13.10,2.01,0.05,23.66,5.02,39.24,5.18,26842
2013,1505700,Ponta de Pedras,5.50,11.30,15.15,2.18,0.67,17.99,4.55,34.99,2.16,28025
2013,1505809,Portel,8.70,17.40,21.11,2.46,0.47,6.23,6.81,43.11,5.86,56094
